Adrenal cortex	B cell	Bile duct	Bone	Breast	Central nervous system	Cervix	Colorectal	Erythrocytes	Esophagus	Eye	Fibroblast	Gastric	Granulocytes	Kidney	Liver	Lung	Megakaryocytes	Monocytes	NK cell	Ovary	Pancreas	Peripheral nervous system	Prostate	Skin	Soft tissue	T cell	Thyroid	Upper aerodigestive	Urinary tract	Uterus
ENSG00000141096	126.55	0.0648717948717949	0.272439024390244	0.00358974358974359	0.0129508196721312	0.631428571428571	0.0105882352941176	0.00614285714285715	0.06	0.0059375	0.001	0.0125641025641026	0.0065	1.28964285714286	0.00342105263157895	0.00625	0.746135265700483	0.03	0.168793103448276	0.0425	2.9890625	0.0148076923076923	0.041875	0.0509090909090909	2.98488095238095	0.0473770491803279	0.0528571428571429	0.0129411764705882	0.0189090909090909	0.0122222222222222	0.017
ENSG00000188958	115.85	0.123846153846154	0.418536585365854	1.18358974358974	0.122459016393443	0.950357142857143	0.108823529411765	5.08885714285714	0.074	0.1546875	0.143	0.597179487179487	0.40925	0	0.251315789473684	0.162916666666667	0.353961352657005	0.216666666666667	0.0158620689655172	0.0225	0.74765625	0.162692307692308	0.0575	0.129090909090909	0.273928571428571	1.31065573770492	0.0019047619047619	0.122941176470588	0.163090909090909	0.178333333333333	0.14225
ENSG00000205835	10.72	0.00435897435897436	0.0114634146341463	0.275128205128205	0.00770491803278689	0.0313095238095238	0.00294117647058824	0.128	0.001	0.031875	0.015	0.444615384615385	0.02825	0	0.0728947368421053	0.13	0.0685507246376812	0.00666666666666667	0.00827586206896552	0	0.15828125	0.0192307692307692	0.0125	0.13	0.0238095238095238	0.039016393442623	0	0.0258823529411765	0.00854545454545455	0.0283333333333333	0.0375
ENSG00000270946	36.24	0.00461538461538461	0.00146341463414634	0.00358974358974359	1.42393442622951	0.00142857142857143	0.00176470588235294	0.00214285714285714	0	0.0028125	0.362	0.00615384615384616	0.19775	0	0.00473684210526316	0.357083333333333	0.515845410628019	0	0.000517241379310345	0	0.36515625	0.00269230769230769	0.2678125	0.00818181818181818	1.36214285714286	0.169672131147541	0	0.00588235294117648	0.00781818181818182	0.0147222222222222	0.38975
ENSG00000048462	0.03	62.0246153846154	0.0278048780487805	0.0435897435897436	0.0837704918032787	0.0930952380952381	0.021764705882353	0.0808571428571429	0.034	0.084375	0.007	0.0641025641025641	0.09075	0.0292857142857143	0.083421052631579	0.0570833333333333	0.0851690821256039	0.105	0.0562068965517241	0	0.081875	0.0771153846153846	0.0359375	0.0445454545454546	0.0558333333333333	0.029016393442623	0.102380952380952	0.107058823529412	0.0401818181818182	0.0658333333333334	0.03625
ENSG00000100721	0	57.6128205128205	0.0273170731707317	0.17974358974359	0.13	0.465119047619048	0.000588235294117647	0.232142857142857	2.423	0.4521875	0	0.317435897435897	0.16475	0.158214285714286	0.185263157894737	0.105833333333333	0.152898550724638	0.21	0.505344827586207	0.0175	0.08890625	0.149423076923077	0.14125	0.0527272727272727	0.22202380952381	0.115901639344262	0.0152380952380952	0.252352941176471	0.170363636363636	0.220555555555556	0.07675
ENSG00000105369	0.17	335.305641025641	0.628536585365854	5.45128205128205	0.254590163934426	0.286547619047619	2.67882352941177	0.858857142857143	18.132	0.8775	0.509	0.442051282051282	0.43225	0.224642857142857	0.35	0.57	1.84782608695652	0.341666666666667	0.573965517241379	0.23	0.44046875	1.05769230769231	0.4109375	0.259090909090909	1.24535714285714	0.248196721311475	0.509523809523809	0.402352941176471	0.414545454545455	0.286388888888889	0.3175
ENSG00000110777	0.23	84.4720512820513	0.303170731707317	0.134871794871795	0.389016393442623	0.426547619047619	0.113529411764706	0.759857142857143	0.708	0.404375	0.069	0.0956410256410257	1.16925	0.0417857142857143	0.223684210526316	0.835	1.93608695652174	0.125	0.0598275862068966	0.0025	0.249375	0.142692307692308	0.0378125	2.46181818181818	0.38452380952381	0.260327868852459	0.0842857142857143	0.19	1.09109090909091	0.740833333333333	0.149
ENSG00000132465	1.89	2256.17025641026	0.182439024390244	1.78512820512821	2.32704918032787	1.79107142857143	0.944117647058824	1.69757142857143	4.228	1.794375	1.552	3.62564102564103	1.262	1.22321428571429	1.89078947368421	1.0275	1.30309178743961	2.68333333333333	11.9087931034483	0.0125	1.4659375	1.5975	0.7853125	0.677272727272727	1.07380952380952	1.03344262295082	4.65142857142857	1.52294117647059	0.830727272727273	2.06333333333333	0.728
ENSG00000132704	0	17.0217948717949	0.00658536585365854	0.00794871794871795	0.019344262295082	0.0129761904761905	0.00117647058823529	0.0102857142857143	0.63	0.0053125	0.002	0.01	0.03775	0.119642857142857	0.0268421052631579	0.0108333333333333	0.0585507246376812	0.0633333333333333	0.0413793103448276	0.015	0.01140625	0.0453846153846154	0.0034375	0.00545454545454545	0.018452380952381	0.00508196721311476	0.0147619047619048	0.02	0.00981818181818182	0.0144444444444444	0.00425
ENSG00000143297	0	40.0912820512821	0.015609756097561	0.0174358974358974	0.00754098360655738	0.0217857142857143	0.00235294117647059	0.0177142857142857	0.412	0.01125	0.02	0.00897435897435897	0.016	0.0292857142857143	0.0126315789473684	0.015	0.309855072463768	0.015	0.0336206896551724	0.0075	0.0128125	0.00923076923076923	0.0125	0.00636363636363636	0.01	0.00918032786885247	0.0161904761904762	0.00823529411764706	0.0141818181818182	0.0163888888888889	0.00775
ENSG00000156738	0	150.099743589744	0.0209756097560976	0.0894871794871795	0.0868852459016394	0.111190476190476	0.00882352941176471	0.195857142857143	9.173	0.238125	0.054	0.19974358974359	0.11825	0.163571428571429	0.113684210526316	0.0816666666666667	0.0864251207729469	0.426666666666667	0.389310344827586	0.0625	0.04046875	0.115576923076923	0.0421875	0.0281818181818182	0.146666666666667	0.0567213114754098	0.318095238095238	0.137647058823529	0.104545454545455	0.136666666666667	0.049
ENSG00000163534	0	43.4523076923077	0.00609756097560976	0.0123076923076923	0.0178688524590164	0.0428571428571429	0	0.025	2.53	0.00843750000000001	0	0.0164102564102564	0.1015	2.77464285714286	0.0234210526315789	0.01875	0.0111594202898551	0.13	0.113103448275862	0.0575	0.0075	0.0651923076923077	0.005625	0.000909090909090909	0.0439285714285714	0.0178688524590164	0.0895238095238095	0.0364705882352941	0.0178181818181818	0.0119444444444444	0.00825000000000001
