Adrenal cortex	B cell	Bile duct	Bone	Breast	Central nervous system	Cervix	Colorectal	Erythrocytes	Esophagus	Eye	Fibroblast	Gastric	Granulocytes	Kidney	Liver	Lung	Megakaryocytes	Monocytes	NK cell	Ovary	Pancreas	Peripheral nervous system	Prostate	Skin	Soft tissue	T cell	Thyroid	Upper aerodigestive	Urinary tract	Uterus
ENSG00000133636	4327.1	0.00512820512820513	27.3660975609756	11.6664102564103	35.1839344262295	1.1425	0.408823529411765	46.7344285714286	0.281	17.864375	0.164	0.452307692307692	1.368	0	1.39657894736842	328.5925	99.7915942028986	12.5133333333333	0.00103448275862069	0	567.31484375	28.7086538461538	1.61125	0.358181818181818	8.65880952380952	35.1236065573771	0.000952380952380952	1.69882352941176	13.2494545454545	4.92194444444444	1.097
ENSG00000141096	126.55	0.0648717948717949	0.272439024390244	0.00358974358974359	0.0129508196721312	0.631428571428571	0.0105882352941176	0.00614285714285715	0.06	0.0059375	0.001	0.0125641025641026	0.0065	1.28964285714286	0.00342105263157895	0.00625	0.746135265700483	0.03	0.168793103448276	0.0425	2.9890625	0.0148076923076923	0.041875	0.0509090909090909	2.98488095238095	0.0473770491803279	0.0528571428571429	0.0129411764705882	0.0189090909090909	0.0122222222222222	0.017
ENSG00000163530	61.06	0.0376923076923077	0.208780487804878	0.0217948717948718	0.219672131147541	0.0544047619047619	1.16411764705882	0.0237142857142857	0.006	0.1815625	0	0.00307692307692308	2.334	0.00321428571428571	0.00421052631578947	0.165833333333333	1.11086956521739	0.0666666666666667	0.00224137931034483	0	3.9921875	0.0521153846153846	0.0040625	0.01	0.0590476190476191	0.743934426229508	0.0019047619047619	0.0635294117647059	0.208363636363636	0.137777777777778	0.6875
ENSG00000176204	36.07	0.0238461538461538	0.220731707317073	0.114358974358974	0.116885245901639	0.615	0.0452941176470588	0.0501428571428571	0.039	0.0865625	0.052	0.0138461538461539	0.262	0.00107142857142857	0.105789473684211	0.37375	0.424057971014493	0.255	0.0046551724137931	0	0.4784375	0.300769230769231	0.618125	0.400909090909091	1.87928571428571	0.763606557377049	0	0.905294117647059	0.056	0.135277777777778	0.0885
ENSG00000188729	117.7	0.0120512820512821	0.0329268292682927	10.0725641025641	0.157540983606557	0.457738095238095	0.0311764705882353	0.919571428571429	0.019	0.009375	0.008	3.42974358974359	0.25625	0	0.065	0.0166666666666667	0.300724637681159	0.00833333333333333	0.00620689655172414	0.01	1.63	0.02	0.0203125	0.01	0.11047619047619	12.2267213114754	0.000476190476190476	0.0664705882352941	0.0105454545454545	0.0116666666666667	0.3085
ENSG00000188958	115.85	0.123846153846154	0.418536585365854	1.18358974358974	0.122459016393443	0.950357142857143	0.108823529411765	5.08885714285714	0.074	0.1546875	0.143	0.597179487179487	0.40925	0	0.251315789473684	0.162916666666667	0.353961352657005	0.216666666666667	0.0158620689655172	0.0225	0.74765625	0.162692307692308	0.0575	0.129090909090909	0.273928571428571	1.31065573770492	0.0019047619047619	0.122941176470588	0.163090909090909	0.178333333333333	0.14225
ENSG00000205835	10.72	0.00435897435897436	0.0114634146341463	0.275128205128205	0.00770491803278689	0.0313095238095238	0.00294117647058824	0.128	0.001	0.031875	0.015	0.444615384615385	0.02825	0	0.0728947368421053	0.13	0.0685507246376812	0.00666666666666667	0.00827586206896552	0	0.15828125	0.0192307692307692	0.0125	0.13	0.0238095238095238	0.039016393442623	0	0.0258823529411765	0.00854545454545455	0.0283333333333333	0.0375
ENSG00000270946	36.24	0.00461538461538461	0.00146341463414634	0.00358974358974359	1.42393442622951	0.00142857142857143	0.00176470588235294	0.00214285714285714	0	0.0028125	0.362	0.00615384615384616	0.19775	0	0.00473684210526316	0.357083333333333	0.515845410628019	0	0.000517241379310345	0	0.36515625	0.00269230769230769	0.2678125	0.00818181818181818	1.36214285714286	0.169672131147541	0	0.00588235294117648	0.00781818181818182	0.0147222222222222	0.38975
ENSG00000271449	43.63	0.000769230769230769	0.0192682926829268	0.0815384615384615	0.383606557377049	0.0689285714285714	0.00176470588235294	0.00485714285714286	0	0.3775	1.779	0.000769230769230769	0.1755	0	0.00368421052631579	0.430416666666667	0.524057971014493	0.00833333333333333	0.00241379310344828	0.0025	0.63609375	0.00365384615384615	0.690625	0.00272727272727273	1.59619047619048	0.311967213114754	0	0.262941176470588	0.105454545454545	0.03	0.364
ENSG00000278085	27.59	0.00461538461538461	0.0207317073170732	0.0653846153846154	1.23803278688525	0.0642857142857143	0.00352941176470588	0.00571428571428571	0	0.3565625	1.699	0.00615384615384616	0.1615	0	0.00842105263157895	0.654166666666667	0.615458937198068	0.00833333333333333	0.000517241379310345	0	0.490625	0.00384615384615385	0.663125	0.00909090909090909	1.94833333333333	0.220491803278689	0	0.268823529411765	0.105454545454545	0.0169444444444445	0.417
